Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
6,90749060,5,4,86,565,43,0,17.2,23.55206997,174,43,141.25,65.5,7.173628024,0.099174581,1.13E+07,2.05E+07,4.46E+07,40636,9.02E+07,2.26E+07,2.54E+07,4.46E+07,360416,9.07E+07,3.02E+07,2.58E+07,4.54E+07,477237,0,1,0,0,100,80,0.055096989,0.044077592,0,174,69.4,74.58060516,5562.266667,0,0,0,1,1,0,0,0,0,77.11111111,17.2,141.25,0,0,0,0,0,0,5,86,4,565,-1,7719,2,0,439144.5,111338.9124,517873,360416,4.46E+07,122031.0741,4.46E+07,4.45E+07,No Label
6,19172581,29,32,2282,1847,585,0,78.68965517,140.0543526,422,0,57.71875,106.1469567,215.3596326,3.181626929,319543.0167,1187279.255,9070644,0,1.87E+07,669496.4643,2149554.567,1.14E+07,89,1.01E+07,325868.9355,481923.0478,1779728,0,0,0,0,0,580,724,1.512576737,1.669050192,0,585,66.59677419,122.1197289,14913.22819,0,1,0,0,0,0,0,0,1,67.68852459,78.68965517,57.71875,0,0,0,0,0,0,29,2282,32,1847,-1,282,18,0,0,0,0,0,0,0,0,0,No Label
6,2249041,11,9,1335,603,499,0,121.3636364,193.3087027,212,0,67,82.97439364,861.7006093,8.892679146,118370.5789,198815.0207,562872,0,1600457,160045.7,235521.1395,562872,537,2249041,281130.125,372975.356,1112108,0,0,0,0,0,220,204,4.89097353,4.001705616,0,499,92.28571429,150.3882119,22616.61429,0,1,0,0,0,0,0,0,0,96.9,121.3636364,67,0,0,0,0,0,0,11,1335,9,603,-1,124,6,0,0,0,0,0,0,0,0,0,No Label
6,1451,1,2,0,39,0,0,0,0,39,0,19.5,27.57716447,26878.01516,2067.539628,725.5,675.286976,1203,248,0,0,0,0,0,1451,1451,0,1451,1451,0,1,0,0,20,40,689.1798759,1378.359752,0,39,19.5,22.5166605,507,0,0,0,1,1,0,0,0,2,26,0,19.5,0,0,0,0,0,0,1,0,2,39,-1,124,0,0,0,0,0,0,0,0,0,0,No Label
6,400556,0,2,0,0,0,0,0,0,0,0,0,0,0,4.993059647,400556,0,400556,400556,0,0,0,0,0,400556,400556,0,400556,400556,0,0,0,0,0,40,0,4.993059647,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,124,0,0,0,0,0,0,0,0,0,0,No Label
6,2009511,0,2,0,39,0,0,0,0,39,0,19.5,27.57716447,19.40770665,0.995267008,2009511,0,2009511,2009511,0,0,0,0,0,2009511,2009511,0,2009511,2009511,0,0,0,0,0,40,0,0.995267008,0,39,13,22.5166605,507,0,0,0,0,1,0,0,0,0,19.5,0,19.5,0,0,0,0,0,0,0,0,2,39,-1,124,0,0,0,0,0,0,0,0,0,0,No Label
6,112478248,6,4,174,199,58,0,29,31.76790834,58,47,49.75,5.5,3.316196746,0.088906079,1.25E+07,2.41E+07,5.50E+07,40713,1.12E+08,2.24E+07,2.97E+07,5.50E+07,292544,1.12E+08,3.75E+07,3.20E+07,5.67E+07,529605,0,1,0,0,120,80,0.053343647,0.035562432,0,58,39.18181818,25.61178706,655.9636364,0,0,0,1,1,0,0,0,0,43.1,29,49.75,0,0,0,0,0,0,6,174,4,199,-1,2048,3,0,431517,196537.5014,570490,292544,5.50E+07,327.3904397,5.50E+07,5.50E+07,No Label
6,3833678,0,2,0,39,0,0,0,0,39,0,19.5,27.57716447,10.17299836,0.521692223,3833678,0,3833678,3833678,0,0,0,0,0,3833678,3833678,0,3833678,3833678,0,0,0,0,0,52,0,0.521692223,0,39,13,22.5166605,507,0,0,0,0,1,0,0,0,0,19.5,0,19.5,0,0,0,0,0,0,0,0,2,39,-1,124,0,0,0,0,0,0,0,0,0,0,No Label
6,497152,1,1,0,0,0,0,0,0,0,0,0,0,0,4.022914521,497152,0,497152,497152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,32,2.011457261,2.011457261,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,1021,0,0,0,0,0,0,0,0,0,0,No Label
17,999699,1,1,43,43,43,43,43,0,43,43,43,0,86.02589379,2.000602181,999699,0,999699,999699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1.000301091,1.000301091,43,43,43,0,0,0,0,0,0,0,0,0,0,1,64.5,43,43,0,0,0,0,0,0,1,43,1,43,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
